Domain,Timestamp,Resolver,Status,Query Time
test.example.test,2026-07-07 07:09:15 UTC,16.26.83.210@853,NOERROR,149.8
test0.example.test,2026-07-07 07:09:15 UTC,16.26.83.210@853,NOERROR,53.7
test1.example.test,2026-07-07 07:09:15 UTC,16.26.83.210@853,NOERROR,61.7
test2.example.test,2026-07-07 07:09:15 UTC,16.26.83.210@853,NOERROR,59
test3.example.test,2026-07-07 07:09:15 UTC,16.26.83.210@853,NOERROR,55.9
test4.example.test,2026-07-07 07:09:15 UTC,16.26.83.210@853,NOERROR,54.3
test5.example.test,2026-07-07 07:09:15 UTC,16.26.83.210@853,NOERROR,54.3
test6.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,59.1
test7.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,52.5
test8.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,58.9
test9.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,55
test10.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,56.5
test11.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,55.6
test12.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,56.8
test13.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,61.5
test14.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,55.5
test15.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,62.1
test16.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,58
test17.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,59
test18.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,55
test19.example.test,2026-07-07 07:09:16 UTC,16.26.83.210@853,NOERROR,54.9
,,,,56.965
,,,,2.80211855942118
