"Domain","Timestamp","Resolver","Status","Query Time"
"test.example.test","2026-07-07 04:40:15 UTC","16.26.83.210@853","NOERROR","122.8"
"test0.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","63.3"
"test1.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","62.2"
"test2.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","58.4"
"test3.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","60.0"
"test4.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","55.5"
"test5.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","60.1"
"test6.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","56.7"
"test7.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","61.9"
"test8.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","63.5"
"test9.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","63.4"
"test10.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","56.2"
"test11.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","60.6"
"test12.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","56.3"
"test13.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","56.8"
"test14.example.test","2026-07-07 04:40:16 UTC","16.26.83.210@853","NOERROR","57.4"
"test15.example.test","2026-07-07 04:40:17 UTC","16.26.83.210@853","NOERROR","65.3"
"test16.example.test","2026-07-07 04:40:17 UTC","16.26.83.210@853","NOERROR","58.2"
"test17.example.test","2026-07-07 04:40:17 UTC","16.26.83.210@853","NOERROR","56.5"
"test18.example.test","2026-07-07 04:40:17 UTC","16.26.83.210@853","NOERROR","60.6"
"test19.example.test","2026-07-07 04:40:17 UTC","16.26.83.210@853","NOERROR","58.6"
